w,alpha_u_in,alpha_u_out,alpha_v_in,alpha_v_out,beta_jaccard,beta_adamic,beta_pa,beta_cn
0.6,0.19646409933816592,0.35185483662819605,0.28400983979101224,0.16767122424262548,0.24195063993408705,0.24979224754387572,0.26869049355917085,0.2395666189628661
0.7,0.20678928972607563,0.32947464799351717,0.27795652208771715,0.1857795401926897,0.24219851016451663,0.2484426386707263,0.26881237989396806,0.24054647127078876
0.8,0.21612576166299619,0.30923753901242373,0.27248285731846916,0.2021538420061105,0.24245543090896043,0.24704375137475412,0.2689387166784192,0.24156210103786593
0.9,0.22460904262607626,0.2908497494354853,0.2675093902048778,0.21703181773356028,0.2427219070790433,0.24559283650287375,0.2690697521949711,0.24261550422311154
